Habitat	IJSEM year	article doi	16S rDNA accession number	DNA GC content (mol%)	oxygen preference	mean length (microns)	mean width (microns)	motility	spore production	Metabolism assays	Genus name	species name	strain name	pH optimum for growth	pH range at which growth occurred	temperature optimum for growth (degC)	temperature range at which growth occurred (degC)	optimal NaCl concentration for growth (%)	NaCl concentration range at which growth occurred (%)	pigment production	cell shape	cell aggregation	article first page	culture collection codes	Sole carbon substrate use	genome accession number	gram status	"If 'other' was chosen above, please enter a habitat below"	The paper included Biolog results
other	2010	10.1099/ijs.0.004424-0	"AM941399,"	64.4	aerobic	1.5-4	0.7-0.9	flagella	no	"catalase positive, H2S production, nitrate reduction to nitrite, oxidase positive"	Halomonas	Halomonas johnsoniae	T68687	08/09/14	07/10/14	30-35	Oct-40	0-5	0-20	yes	rod	not indicated	369	KCTC22157|DSM21197	"4-hydroxbenzoate, acetate, citric acide (citrate), ethanol, fructose, gluconic acid, glucose, glycerol, malate, maltose, mannitol, propionic acid (propionate), sorbitol, succinic acid (succinate), sucrose, trehalose"		negative	renal care center	No
plant associated	2009	10.1099/ijs.0.001461-0	AM941746	61.7	aerobic	3.5	1	"motile, but unspecified structure"	no	"aesculin hydrolysis, catalase positive"	Kushneria	aurantia	A10T	7.5	5.5-8.5	37	20-40	10	5-17.5	yes	rod	none	397	CCM7415T|CECT7220T	"2,3-butanediol, adonitol, arabinose, cellobiose, citric acide (citrate), dextrin, fructose, galactose, galcturonic acid, glucose, glutamic acid, glycerol, glycogen, inosine, malate, maltose, mannitol, mannose, proline, ribose, serine, sorbitol, succinic acid (succinate), threonine, thymidine, trehalose, uridine, xylitol, xylose"		negative		Yes
other	2009	10.1099/ijs.0.001990-0	AM942722	47.9	facultative anaerobe	1.25	0.55	"motile, but unspecified structure"	not indicated	"nitrate reduction to nitrite, oxidase positive"	Enterovibrio	nigricans	DAl1-1-5T			21.5	15-28	3.45	0.9-6	yes	rod	not indicated	698	CECT7320T|CAIM661T	"glucose, mannose, N-acetylgulcosamine, sucrose, Tween 80"		negative	bony fish	No
other	2008	10.1099/ijs.0.2008/001602-0	AM942763	67	aerobic		1.2-1.6	non-motile	no	"aesculin hydrolysis, catalase positive, nitrate reduction to nitrite, oxidase positive"	Haloterrigena	salina	XH-65	07-Aug	06-Sep	37	25-50	19.72	14.5-29	yes	cocci	chain	2880	CGMCC1.6203|JCM13891	"acetate, arabinose, aspartic acid (aspartate), fructose, galactose, glucose, glutamic acid, glycerol, lactose, maltose, mannose, threonine, xylose"		negative	salt lake	No
"freshwater (river, lake, pond)"	2009	10.1099/ijs.0.004648-0	AM943121	62.7	anaerobic	1.35	1	flagella	not indicated		Ectothiorhodospira	variabilis	WN22T	9.25	7.5-10	32.5	20-45	6.5	Feb-20	yes		not indicated	658	VKMB-2479T|DSM21381T	"acetate, lactate, malonic acid (malonate), propionic acid (propionate), pyruvic acid (pyruvate), succinic acid (succinate)"		negative		No
marine sediment	2009	10.1099/ijs.0.002642-0	AM943630	63.6	aerobic	0.9	1.8	flagella	not indicated	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, gelatinase, nitrate reduction to nitrite, oxidase positive"	Phaeobacter	caeruleus	LMG 24369T	7.25	06-Sep	24	Apr-45	3.5	02-May	yes	rod	clump	1209	CCUG 55859T	Tween 80		negative		No
other	2010	10.1099/ijs.0.012708-0	AM944497	71	NA			non-motile	yes	"catalase positive, oxidase positive"	Micromonospora 	Micromonospora pisi	GUI 15		07/09/14	28	20-37		0-2	NA	not indicated	not indicated	331	DSM45175|LMG24546	"alanine, arabinose, arginine, cellobiose, fructose, galactose, gluconic acid, glucose, histidine, mannose, melibiose, pyruvic acid (pyruvate), rhamnose, salicin, sucrose, xylose"		positive	root nodules	No
plant associated	2010	10.1099/ijs.0.012708-0	AM944497	71	aerobic			non-motile	yes	"aesculin hydrolysis, catalase positive, gelatinase, oxidase positive"	Micromonospora	pisi	GUI 15		07-Sep	28	20-37			yes	not indicated	not indicated	331	DSM=45175|LMG=24546	"alanine, alanine, arabinose, arginine, cellobiose, fructose, galactose, gluconic acid, glucose, histidine, mannose, melibiose, pyruvic acid (pyruvate), rhamnose, salicin, sucrose, xylose"		positive		No
wastewater	2009	10.1099/ijs.0.003822-0	AM947130	65.1	anaerobic	03-Apr	1.3-1.6	non-motile	no	"catalase positive, H2S production"	Desulfovibrio	marrakechensis	EMSSDQ4 T	7	6.5-8.5	37	20-50	0	0-35	NA	rod	clump	936	DSM19337T|ATCCBAA-1562T	"acetate, ethanol, lactate, malate, pyruvic acid (pyruvate), sucrose"		negative		No
"freshwater sediment (river, lake, pond"	2009	10.1099/ijs.0.009209-0	"AM947652,"	61.9	aerobic	1.9дус4.1	0.8дус1.5 	non-motile	no	"acid phosphatase, aesculin hydrolysis, catalase positive, oxidase positive"	Acidisoma	tundrae	WM1T	5.1	3.0дус7.5	18.5	2дус30	0.75	0-1.5		ovoid/coccobacillus	chain	2283	DSM19999T|VKMB-2488T	"arabinose, asparagine, ethanol, fructose, galactose, galcturonic acid, gluconic acid, glucose, glycerol, lactate, malate, mannitol, mannose, myo-inositol, pyruvic acid (pyruvate), sorbitol, trehalose, xylose"		negative		No
"freshwater sediment (river, lake, pond"	2009	10.1099/ijs.0.009209-0	AM947653	60.5дус61.3	aerobic	1.4дус 3.1	0.7дус1.2	non-motile	no	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, oxidase positive, urease positive"	Acidisoma	sibiricum	TPB606T	5.75	3.7дус7.6	22.5	2дус30	1.25	0-2.5		ovoid/coccobacillus	chain	2283	DSM21000T|VKMB-2487T	"arabinose, asparagine, cellobiose, fructose, galactose, galcturonic acid, gluconic acid, glucose, glycerol, lactose, mannitol, mannose, myo-inositol, pyruvic acid (pyruvate), sorbitol, sucrose, trehalose, xylose"		negative		No
soil	2012	10.1099/ijs.0.026815-0	AM947938	63.8	NA	3	1	flagella	not indicated		Rhodopseudomonas	parapalustris	JA310	6.75	06/09/14	30	15-35	0%	Up to 0.5%	yes	rod	not indicated	1790	NBRC=106083|KCTC=5839	"glucose, glycerol, malate, pyruvic acid (pyruvate), sorbitol, succinic acid (succinate)"		NA		No
other	2009	10.1099/ijs.0.002675-0	AM948969		aerobic			non-motile	no		Arcicella	rosea	TW5T								rod	clump	341	CCUG55942T5|CCM7523T	"acetate, glucose, maltose, sucrose"		negative	tap water	No
other	2009	10.1099/ijs.0.005561-0	AM949677	70	aerobic	0.74	0.54	"motile, but unspecified structure"	no	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, gelatinase, nitrate reduction to nitrite"	Microbacterium	invictum	DC-200T	7.8	6.0-9.5	23.5	Oct-37	5			rod		2036	DSM19600T|LMG 24557T	"arabinose, cellobiose, fructose, glucose, maltose, mannitol, mannose, N-acetylgulcosamine, rhamnose, salicin, sorbitol, xylitol, xylose"		positive	Compost	No
marine sediment	2009	DOI 10.1099/ijs.0.000737-0	AM980877	42	facultative anaerobe	2.25	0.5	flagella	no	"aesculin hydrolysis, alkaline phosphatase, catalase positive, gelatinase, H2S production, oxidase positive"	Shewanella	vesiculosa	M7T	7.5	6.0-8.5	17.5	-34	2	<7	no	rod	clump	336	LMG24424T5|CECT7339T	"cellobiose, galactose, glucose, malate, maltose, mannitol, melibiose, sucrose"		negative		No
soil	2009	10.1099/ijs.0.012922-0	AM980986	74.3	aerobic	0.45	1.25		yes	aesculin hydrolysis	Actinocatenispora	rupis	CS5-AC17T	7.1	5.1-12.1	37	25-42	7.1	0-4	no		clump	3078	5DSM45178T|5NRRLB-24660T	"adonitol, arabinose, cellobiose, citric acide (citrate), galactose, glycerol, lactose, maltose, mannitol, mannose, rhamnose, sorbitol, sucrose, trehalose, Tween 80"		positive		No
other	2011	10.1099/ijs.0.022939-0	AM981198	71.4	aerobic	0.5	1.25	non-motile	no	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, gelatinase, nitrate reduction to nitrite"	Nocardioides	hungaricus	1RaM5-12T	6.5	05-Sep	24	20-37		0-2.5	NA	rod	not indicated	549	DSM21673T|NCAIM02330T	Tween 80		positive	drinking water supply system	No
other	2010	10.1099/ijs.0.014233-0	AM982516	47.2	aerobic	1.7-3.5	0.5-0.7	"motile, but unspecified structure"	no	"aesculin hydrolysis, catalase positive, oxidase positive"	Bacillus	Bacillus halochares	MSS4	8	06/09/14	37	26-45			NA	rod	not indicated	1432	LMG24571|DSM21373	"acetate, cellobiose, glycerol, lactose, maltose, mannitol, ribose, sucrose"		positive	solar saltern	No
other	2010	10.1099/ijs.0.014233-0	AM982516	47.2	aerobic	2.6	0.6	"motile, but unspecified structure"	no	"aesculin hydrolysis, catalase positive, oxidase positive"	Bacillus	halochares	MSS4	8	06-Sep	37	26-45	14.5	5.8-23.2	NA	rod	not indicated	1432	LMG=24571|DSM=21373	"acetate, cellobiose, glycerol, lactose, maltose, mannitol, ribose, sucrose"		positive	Solar saltern	No
other	2009	10.1099/ijs.0.008250-0	AM982786	39	aerobic	3	0.75	non-motile	not indicated	"alkaline phosphatase, catalase positive, gelatinase, indole production, oxidase positive"	Chryseobacterium	anthropi	NF 1366T			30	20-37		<3	no	rod	clump	2421	CCUG52764T|CIP109762T	"acetate, glucose, maltose, mannose, Tween 80"		negative	clinical origins	No
other	2010	10.1099/ijs.0.011072-0	AM983542	67.5	aerobic	1.3-3	0.6-0.8	flagella	no	"catalase positive, nitrate reduction to nitrite, oxidase positive"	Loktanella 	Loktanella pyoseonensis	JJM85	07/08/14	05/10/14	25	4/30/2014	02/05/14	01/12/14	yes	rod	not indicated	785	KCTC22372|DSM21424	"arabinose, citric acide (citrate), glucose, maltose, mannitol"		negative	beach sand	No
other	2010	10.1099/ijs.0.011072-0	AM983542	67.5	aerobic	2.15	0.7	flagella	no	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, nitrate reduction to nitrite, oxidase positive"	Loktanella	pyoseonensis	JJM85	7.5	05-Oct	25	Apr-30	3.5	01-Dec	yes	rod	not indicated	785	KCTC=22372|DSM=21424	"arabinose, citric acide (citrate), glucose, maltose, mannitol, N-acetylgulcosamine"		negative	Beach sand	No
other	2011	10.1099/ijs.0.017970-0	AM988777	66.8	aerobic	1.95	1.05	non-motile	no	"catalase positive, oxidase positive"	Deinobacterium	chartae	K4.1T	8.15	6-10.3	37-45	Dec-50		>3	yes	rod	not indicated	540	DSM21458T|HAMBI2721T	"arabinose, asparagine, aspartic acid (aspartate), citric acide (citrate), fucose, galactonic acid, gluconic acid, glucosamine, glucose, glycerol, glycogen, myo-inositol, N-acetylgulcosamine, propionic acid (propionate), raffinose, succinic acid (succinate), threonine, xylose"		negative	finnish paper mill	Yes
seawater	2013	10.1099/ijs.0.045575-0	AM990889	44.5	aerobic	2.2	0.34	non-motile	no	"alkaline phosphatase, gelatinase"	Pleionea	mediterranea	MOLA115	7	05-Oct	27.5	15-37	0.75	0.5-10.0	yes	rod	not indicated	2700	CIP110343|DSM25350			negative		No
other	2009	10.1099/ijs.0.005249-0	AM992060		aerobic			not indicated	yes	"aesculin hydrolysis, catalase positive, gelatinase, urease positive"	Saccharopolyspora	rosea	IMMIB L-1070T	7	06-Aug	32	22-42			yes	rod	chain	1148	DSM45226T|CCUG56401T	"2,3-butanediol, acetate, adipate, adonitol, alanine, alanine, arabinose, arginine, citric acide (citrate), galactose, gelatin, gluconic acid, glucose, lactate, maltose, mannitol, myo-inositol, ornithine, proline, serine, sorbitol, sucrose, trehalose, xylose"		positive	human-lung	No
marine sediment	2009	10.1099/ijs.0.006197-0	AM992980	71.87	aerobic	not indicated	not indicated	non-motile	no	nitrate reduction to nitrite	Promicromonospora	flava	CC 0387T	not indicated	not indicated	not indicated	not indicated	3.5	02-May		cocci	not indicated	1599	CCTCCAA208024T|DSM21481T	"alanine, alanine, glucose, lactose, myo-inositol, ribose, sucrose, trehalose, xylitol"		positive		No
other	2009	10.1099/ijs.0.006163-0	AM998824	62	aerobic	0.95	0.44	flagella	not indicated	"aesculin hydrolysis, alkaline phosphatase, catalase positive, oxidase positive"	Sphingobium	vermicomposti	VC-230T	7	06-Aug	30	15-37		01-Jan	yes	rod	not indicated	3145	CCUG55809T|DSM21299T	"arabinose, galactose, glucose, lactose, leucine, rhamnose"		negative	vermicompost produced from kitchen waste	No
wastewater	2005	10.1099/ijs.0.63399-0	ATCC29489T	63.8	aerobic	7.25	0.85	"motile, but unspecified structure"	not indicated		Lysobacter	concretionis	Ko07T	7.15	6.8-7.5	27.5	25-30			yes	rod	clump	1155	KCTC12205T|DSM16239T	"3-hydroxybutyrate, acetate, glycogen, proline, valerate"		negative		No
other	2010	10.1099/ijs.0.017590-0	AY 949857	55.6	anaerobic	1.2-1.8	0.6-0.9	non-motile	yes		Saccharofermentans 	acetigenes	P6	6.5	5-7.5	37	20-42	0	0	yes	cocci	chain	2735	JCM14006|AS1.5064	"adonitol, cellobiose, fructose, glucose, lactose, mannitol, melibiose, sucrose, trehalose"		positive	sludge	No
"freshwater sediment (river, lake, pond"	2005	10.1099/ijs.0.63405-0	AY007296	53.3	aerobic	1.1	0.85	non-motile	not indicated	"catalase positive, methane production"	Methylosarcina	lacus	LW14T	6	04-Jul	29	Apr-35			NA	ovoid/coccobacillus	clump	2345	ATCCBAA-1047T|JCM13284T			negative		No
other	2004	10.1099/ijs.0.02743-0	AY012573	64		not indicated	not indicated	not indicated	no	"arylsulfatase, catalase positive, nitrate reduction to nitrite, urease positive"	Mycobacterium	boenickei	ATCC 49935T	not indicated	not indicated	31.5	28-35	5	not indicated		not indicated	not indicated	1653	W5998T|DSM44677T	"fructose, glucose, mannitol, mannose, myo-inositol, salicin, trehalose"		positive	leg wound	No
other	2004	10.1099/ijs.0.02743-0	AY012575	60		not indicated	not indicated	not indicated	no	"arylsulfatase, catalase positive, nitrate reduction to nitrite, urease positive"	Mycobacterium	neworleansense	ATCC 49404T	not indicated	not indicated	31.5	28-35	5	not indicated		not indicated	not indicated	1653	W6705T|DSM44679T	"fructose, glucose, mannitol, mannose, myo-inositol, salicin, trehalose, xylose"		positive	scalp wound	No
other	2004	10.1099/ijs.0.02743-0	AY012577	62		not indicated	not indicated	not indicated	no	"arylsulfatase, catalase positive, nitrate reduction to nitrite, urease positive"	Mycobacterium	brisbanense	ATCC 49938T	not indicated	not indicated	31.5	28-35	5	not indicated		not indicated	not indicated	1653	W6743T|DSM44680T	"adonitol, arabinose, fructose, glucose, mannitol, mannose, myo-inositol, salicin, sorbitol, trehalose"		positive	antral sinus	No
other	2004	10.1099/ijs.0.02743-0	AY012579	64		not indicated	not indicated	not indicated	no	"arylsulfatase, catalase positive, nitrate reduction to nitrite, urease positive"	Mycobacterium	houstonense	ATCC 49403T	not indicated	not indicated	35	28-42	5	not indicated		not indicated	not indicated	1653	W5198T|DSM44676T	"fructose, glucose, mannitol, mannose, myo-inositol, sorbitol, trehalose"		positive	face wound	No
human - mouth	2004	10.1099/ijs.0.02819-0	AY029802	not indicated	anaerobic	6.25	0.45	non-motile	no	"aesculin hydrolysis, catalase positive"	Leptotrichia	wadei	LB 16T	not indicated	not indicated	37	not indicated	not indicated	not indicated		rod	chain	583	CCUG 47505T|CIP107918T			negative		No
human - mouth	2004	10.1099/ijs.0.02819-0	AY029803	not indicated	anaerobic	11.25	0.7	non-motile	no	"aesculin hydrolysis, alkaline phosphatase, catalase positive"	Leptotrichia	hofstadii	LB 23T	not indicated	not indicated	37	not indicated	not indicated	not indicated		rod	chain	583	CCUG47504T|CIP107917T	mannose		negative		No
human - mouth	2004	10.1099/ijs.0.02819-0	AY029806	not indicated	anaerobic	12.5	0.7	non-motile	no	"aesculin hydrolysis, catalase positive"	Leptotrichia	shahii	LB 37T	not indicated	not indicated	37	25-37	not indicated	not indicated		rod	chain	583	CCUG47503T|CIP107916T	arabinose		negative		No
other	2004	10.1099/ijs.0.02819-0	AY029807	not indicated	anaerobic	3	0.45	non-motile	no	"aesculin hydrolysis, alkaline phosphatase, catalase positive"	Leptotrichia	goodfellowii	LB 57T	not indicated	not inidcated	37	not indicated	not indicated	not indicated		rod	chain	583	CCUG32286T|CIP107915T	"arginine, histidine, leucine, mannose, N-acetylgulcosamine"		negative	human blood	No
soil	2004	10.1099/ijs.0.63059-0	AY032601	37	anaerobic	2.75	0.6	flagella	yes	"catalase positive, nitrate reduction to nitrite"	Bacillus	macyae	JMM-4T	7.8	7-8.4	32.5	28-37	1.2	1.2-30		rod	none	2241	DSM16346T|JCM12340T	"acetate, glutamic acid, lactate, pyruvic acid (pyruvate), succinic acid (succinate)"		positive		No
other	2004	10.1099/ijs.0.02976-0	AY044055	52.5	aerobic	5.1	1.25	flagella	yes		Geobacillus	lituanicus	N-3T	6.5	6.t5	57.5	55-70	0.25	0-0.5		rod	chain	1991	DSM15325T|VKMB-2294T	"arabinose, cellobiose, fructose, galactose, glucose, maltose, mannitol, mannose, ribose, sucrose, xylose"			crude oil	No
other	2004	10.1099/ijs.0.02976-0	AY044055	52.5	aerobic	5.1	1.25	flagella	yes	"catalase positive, oxidase positive"	Geobacillus	lituanicus	N-3T	6.5	6.5	57.5	55-70	0.25	0-0.5		rod	chain	1991	DSM15325T|VKMB-2294T	"arabinose, cellobiose, fructose, galactose, glucose, maltose, mannitol, mannose, ribose, sucrose, xylose"			crude oil	No
other	2006	10.1099/ijs.0.64134-0	AY049981		NA			non-motile	no		Rickettsia	tamurae	AT-1	7	7	32	32	0	0	yes	rod	chain	1673	CSURR1			negative	ticks	No
soil	2004	10.1099/ijs.0.02679-0	AY054972		aerobic			non-motile	yes	"aesculin hydrolysis, catalase positive, gelatinase, nitrate reduction to nitrite"	Saccharothrix	algeriensis	SA 233T 	7	5.0-9.0	31.5	18-45		4	yes	rod		1377	NRRLB-24137T|DSM44581T	"acetate, citric acide (citrate), fructose, galactose, glucose, glycerol, maltose, pyruvic acid (pyruvate), succinic acid (succinate), trehalose, Tween 80"		positive		No
other	2004	10.1099/ijs.0.02466-0	AY056830	68.2	NA			non-motile	not indicated	"aesculin hydrolysis, nitrate reduction to nitrite"	Ancylobacter	rudongensis	AS1.1761T	6.9	5.6-9.9	29	May-44	2.5	0-5.0	no	rod	not indicated	385	JCM11671T	"adonitol, alanine, alanine, arabinose, cellobiose, dextrin, fructose, galactose, glucose, glycerol, lactose, maltose, mannitol, melibiose, proline, ribose, sorbitol, sucrose, trehalose, xylose"		negative	roots of Spartina anglica	No
other	2004	10.1099/ijs.0.02724-0	AY062021	69	aerobic			non-motile	no	"aesculin hydrolysis, gelatinase"	microbacterium	ulmi	XIL02T		05-Aug		15-37			no	rod	not indicated	513	LMG20991T|CECT5976T	"arabinose, cellobiose, fructose, maltose, mannitol, mannose, phenylacetate"		positive	sawdust of decayed tree	No
hotspring	2004	10.1099/ijs.0.0299-0	AY064217	30	anaerobic	3.7	0.285	flagella	no	H2S production	Anaerobranca	californiensis	PAOHA-1T	9.25	8.6-10.4	58	45-70	1.75	0-6		rod		739	DSM14826/UNIQEM227T	"cellobiose, fructose, glycerol, maltose, pyruvic acid (pyruvate), sucrose"		negative		No
soil	2005	10.1099/ijs.0.63168-0 ҐЛ_	AY079156	67.8	aerobic			non-motile	yes	"aesculin hydrolysis, H2S production, nitrate reduction to nitrite"	Streptomyces	koyangensis	VK-A60T							yes	not indicated	not indicated	257	KCCM10555T|NBRC100598T	"arabinose, fructose, glucose, mannitol, xylose"		positive		No
soil	2007	10.1099/ijs.0.64777-0	AY114175	68	aerobic			non-motile	yes	"aesculin hydrolysis, nitrate reduction to nitrite"	Lechevalieria	fradiae	Z6T 	7.5	05-Oct	30	15-45	5.5	05-Jun	yes	not indicated		832	CGMCC4.3506T|JCM14205T	"arabinose, raffinose, sorbitol, trehalose, xylose"		positive		No
other	2009	10.1099/ijs.0.003624-0	AY121430	40.9	aerobic	3.2	0.55	flagella	yes	"acid phosphatase, aesculin hydrolysis, catalase positive, gelatinase, nitrate reduction to nitrite, oxidase positive"	Virgibacillus	sediminis	YIM kkny3T	7.7	6.0-10.5	37.5	Oct-55	5			rod	chain	2058	CCTCCAA207023T|DSM19797T|KCTC13193T	"acetate, alanine, alanine, cellobiose, fructose, gluconic acid, glucose, maltose, mannose, ribose, trehalose"		positive	saltwater sediment	No
hypersaline environment	2008	10.1099/ijs.0.65365-0	AY121439	41.8	aerobic	2.5	0.4	"motile, but unspecified structure"	yes	"acid phosphatase, alkaline phosphatase, catalase positive, nitrate reduction to nitrite, oxidase positive"	Virgibacillus	kekensis	YIM kkny16	7	06-Oct	37	Oct-50	10	0-25	no	rod	chain	647	DSM=17056|CGMCC=1.6298	"acetate, alanine, alanine, alpha-ketovaleric acid, dextrin, glucose, glutamic acid, inosine, malate, mannitol, mannose, pyruvic acid (pyruvate), ribose, salicin, succinic acid (succinate), trehalose, xylose"		positive		No
other	2004	10.1099/ijs.0.02702-0	AY125964	36.1	aerobic	1.4-5.0	0.5-0.7	"motile, but unspecified structure"	no		Petrotoga	mexicana	MET12T	6.6	5.8-8.5	55	25-65	0.15	0-20	no	rod	chain	169	DSM14811T|CIP107371T	"arabinose, cellobiose, fucose, galactose, glucose, lactose, maltose, mannose, pyruvic acid (pyruvate), raffinose, rhamnose, ribose, sucrose, xylose"		negative	oil reactor	No
other	2005	10.1099/ijs.0.63350-0	AY126616	49	anaerobic	3	1.1	non-motile	no	"aesculin hydrolysis, alkaline phosphatase, alpha-galactosidase"	Bacteroides	massiliensis	B84634T			37	25-42				rod		1335	CIP107942T|CCUG48901T	"fructose, galactose, glucose, lactose, maltose, mannose, melibiose, N-acetylgulcosamine, raffinose, sorbitol, sucrose"		negative	human- blood	No
soil	2007	10.1099/ijs.0.64974-0	AY129760		aerobic			non-motile	yes	"aesculin hydrolysis, catalase positive, H2S production, nitrate reduction to nitrite"	Amycolatopsis	regifaucium	GY080T	7	05-Sep	32.5	28-37	5		yes	rod	chain	2562	DSM45072T/NCIMB14277T	"arabinose, arabitol, cellobiose, dextrin, galactose, glucose, glycerol, glycogen, maltose, mannitol, myo-inositol, ribose, sucrose, trehalose, xylitol"		positive		No
